item_date_published,date,item_title,item_description,item_link
2018-01-03T10:35:23Z,2018-01-03,"Wednesday, Jan. 3, 2018","<p>On New Year’s Day, the North Korean leader, Kim Jong-un, surprisingly called for direct talks with South Korea. How could that dialogue shift the dynamics among the North, the South and the United States? And Senator Orrin Hatch of Utah, the longest-serving Republican in the Senate, is retiring. Is the way open for Mitt Romney’s return? Guests: David E. Sanger, a Times correspondent who has covered North Korea’s missile program for decades; Jonathan Martin, a national correspondent.</p><p>For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
2018-01-02T10:31:34Z,2018-01-02,"Tuesday, Jan. 2, 2018","<p> It’s 2018, and the investigation into Russian meddling in the 2016 presidential election is nowhere near complete — as the Trump administration had predicted it would be. Instead, new reporting on what prompted a federal inquiry in the first place has shed light on what Robert Mueller, the special counsel in charge of the investigation, was up to over the past year. Guest: Matt Apuzzo, who covers national security for The New York Times</p>",NA
2017-12-29T10:34:24Z,2017-12-29,"Friday, Dec. 29, 2017","<p>The Daily is revisiting our favorite episodes of the year — listening back, and then hearing what’s happened since the stories first ran. Today, we return to the story of Shannon Mulcahy and other steelworkers in Indiana who lost their jobs when their factory moved to Mexico. Guest: Farah Stockman, a national correspondent for The New York Times. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
2017-12-28T11:04:38Z,2017-12-28,"Thursday, Dec. 28, 2017","<p>The Daily is revisiting our favorite episodes of the year — listening back, and then hearing what’s happened since the stories first ran. Today, we return to the story of two Americans, Abraham Davis and Hisham Yasin. Theirs is a story of vandalism and forgiveness. Guest: Sabrina Tavernise, a national correspondent for The New York Times. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
2017-12-27T10:30:00Z,2017-12-27,"Wednesday, Dec. 27, 2017","<p>The Daily is revisiting our favorite episodes of the year — listening back, and then hearing what’s happened since the stories first ran. Today, we’re going back to a conversation that first ran this summer, two weeks after a white supremacist rally in Charlottesville, Va. turned violent and right after President Trump drew intense criticism by saying there were “some very fine people on both sides.” Guest: Derek Black, who had been poised to lead the white nationalist movement but then left, betraying his father, a former grand master of the Ku Klux Klan. For more information on today’s episode, visit nytimes.com/thedaily.&nbsp;</p>",NA
2017-12-26T10:30:00Z,2017-12-26,"Tuesday, Dec. 26, 2017","<p>The Daily is revisiting favorite episodes of the year — listening back, and then hearing what’s happened in the time since the stories first ran. Today we’re going back to an episode from the early weeks of the Trump administration, when we met a man named Carlos who got caught up in the president’s crackdown on immigrants already living in the U.S. illegally. Guests: Monica Davey, the Chicago bureau chief for The New York Times; Tim Grigsby, a print shop owner in West Frankfort, Ill. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2017-12-22T10:45:20Z,2017-12-22,Special Episode: The Year in Sound,"<p>A riot in Charlottesville, Va.; hurricanes in Houston and the Caribbean; shootings outside a music festival, in a church and on a baseball field. Big new jobs for Donald Trump and Neil Gorsuch; big jobs lost for Michael Flynn, James Comey, Bill O’Reilly and Harvey Weinstein. A health care bill stymied; a tax bill fast-tracked. Here’s what a breathtaking year sounded like, from start to finish. For more information on today’s episode, visit nytimes.com/thedaily.&nbsp;</p><p>We're taking Monday off for Christmas. For the rest of next week, we’ll revisit our favorite episodes, adding what has happened since the stories first ran. We’ll be back with a new episode on Tuesday, Jan. 2.</p>",NA
2017-12-21T11:05:58Z,2017-12-21,"Thursday, Dec. 21, 2017","<p>A quarter-century ago, the Ford Motor Company paid out millions of dollars in settlements after a group of women at two Chicago plants accused the company of allowing a culture of harassment and menace. Now, new allegations at the very same Ford plants raise questions about the possibility of change. Guest: Catrin Einhorn, a reporter for The Times. For more information on today’s episode, visit nytimes.com/thedaily.&nbsp;</p>",NA
2017-12-20T10:54:48Z,2017-12-20,"Wednesday, Dec. 20, 2017","<p>The individual mandate started as a Republican idea to fix health care, but it was at the heart of a Democratic president’s signature measure. Now Congress is using the tax bill to kill the mandate. Why did Republicans turn on their own big idea, and what does it mean for the future of the Affordable Care Act?</p><p>Guests: Margot Sanger-Katz, a health care reporter for The Times; Jonathan Gruber, a professor of economics at M.I.T. who advised Mitt Romney’s team on overhauling health care in Massachusetts, and the Obama administration in drafting the Affordable Care Act. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p><p><br></p>",NA
2017-12-19T11:00:01Z,2017-12-19,"Tuesday, Dec. 19, 2017","<p>Nearly eight years ago, an earthquake devastated Haiti, the poorest country in the Western Hemisphere. The capital’s morgues were so overwhelmed that thousands of bodies were dumped into mass graves. But one group of men stepped in, collecting abandoned bodies to bury them. A New York Times reporter talked to the heroes of Burial Road.</p><p>Guests: Catherine Porter, a New York Times reporter, talked to the men who tend to the unclaimed bodies of Port-au-Prince, Haiti. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p><p><br></p>",NA
2017-12-18T10:53:20Z,2017-12-18,"Monday, Dec 18, 2017","<p>There was military footage of unidentified flying objects that couldn’t be explained, and a decade of hidden funding in the defense budget. A Times investigation discovered a shadowy secret program at the Pentagon that looks at the potential threat of U.F.O.s.</p><p>Guests: Helene Cooper, who covers the Pentagon for The New York Times; Luis Elizondo, an intelligence officer who led the program inside the Pentagon. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
2017-12-15T11:02:00Z,2017-12-15,"Friday, Dec. 15, 2017","<p>Student debt levels are soaring — and so are defaults on educational loans. A New York Times investigation found that some creditors are taking extreme measures to get paid. In many cases, those measures are costing people the jobs they need to pay back the loans they took out to get those jobs in the first place.</p><p>Guests: Jessica Silver-Greenberg, a business reporter for The Times; Shannon Otto, who had her nursing license suspended after she fell behind on loan payments. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
2017-12-14T11:00:14Z,2017-12-14,"Thursday, Dec. 14, 2017","<p>Republican lawmakers have reached a deal on their sweeping tax bill, and they are on track to send it to President Trump by Christmas. Why has such an unpopular plan moved so swiftly through Congress? And the Federal Communications Commission is expected to repeal Obama-era net neutrality rules today. What would the modern internet look like without such regulation? Guests: Jim Tankersley, who has been covering the tax bill for The New York Times; Kevin Roose, who writes about the internet. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p><p><br></p>",NA
2017-12-13T10:59:58Z,2017-12-13,"Wednesday, Dec. 13, 2017","<p>Voters in Alabama have elected Doug Jones, a former prosecutor, to the Senate, rejecting the scandal-plagued Roy Moore and giving Democrats a rare victory in a staunchly conservative state. That cuts the Republican majority in the Senate to just one seat. Guest: Jonathan Martin, a national political correspondent for The New York Times. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
2017-12-12T10:46:43Z,2017-12-12,"Tuesday, Dec. 12, 2017","<p>Roy Moore, the Republican Senate candidate in Alabama, has built a legal and political career as a conservative crusader and a man of faith. As voters head to the polls on Tuesday, those early battles may shield him from the sexual misconduct allegations that have made the race a close one. Guests: Alan Blinder, a New York Times correspondent based in Atlanta; Bill Willard, a lawyer in Gadsden, Ala. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
2017-12-11T10:55:42Z,2017-12-11,"Monday, Dec. 11, 2017","<p>One day before the polls open in the Alabama special election, many are asking whether voters will find it harder to support Roy Moore or a Democrat. And we take a look at James O’Keefe, the newly emboldened conservative provocateur famous for trying to use secret recordings to embarrass liberals and journalists. Guests: Jonathan Martin, who is covering the Alabama Senate race; Kenneth P. Vogel, who writes about the confluence of money, politics and influence. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
2017-12-08T11:01:11Z,2017-12-08,"Friday, Dec. 8, 2017","<p>Senator Al Franken, a Democrat, reluctantly announced on Thursday that he would resign, even as he denied accusations of sexual misconduct. What does it tell us that his own party pushed for him to step down? Guest: Yamiche Alcindor, a national reporter for The New York Times who has been covering accusations of sexual harassment in Congress. For more information on today’s episode, visit&nbsp;<a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a></p>",NA
2017-12-07T10:59:45Z,2017-12-07,"Thursday, Dec. 7, 2017","<p> The Arab world was agreed that by officially recognizing Jerusalem as the capital of Israel, President Trump has sabotaged the chance of peace between Israel and the Palestinians. But had Arab leaders given up on the Palestinians long ago? And we hear what it’s like to visit the most powerful figure in the Arab world: Saudi Arabia’s crown prince. Guests: <a href=""https://www.nytimes.com/by/anne-barnard"" target=""_blank"">Anne Barnard</a>, the Beirut bureau chief of The New York Times; <a href=""https://www.nytimes.com/column/thomas-l-friedman"" target=""_blank"">Thomas L. Friedman</a>, a Times opinion columnist. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
2017-12-06T11:04:08Z,2017-12-06,"Wednesday, Dec. 6, 2017","<p>President Trump has said that a peace plan for Israelis and Palestinians would be the “ultimate deal.” But he is now putting that prospect at risk for the sake of a campaign promise. We also look at the carefully constructed apparatus that provided Harvey Weinstein with cover as accusations of sexual misconduct piled up. Guests: <a href=""https://www.nytimes.com/by/mark-landler"" target=""_blank"">Mark Landler</a>, a White House correspondent for The New York Times; <a href=""https://www.nytimes.com/by/jodi-kantor"" target=""_blank"">Jodi Kantor</a> and <a href=""https://www.nytimes.com/by/megan-twohey"" target=""_blank"">Megan Twohey</a>, the Times reporters who broke the story about the sexual misconduct accusations against Harvey Weinstein; Lauren O’Connor, a former employee of Mr. Weinstein. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
2017-12-05T10:34:33Z,2017-12-05,"Tuesday, Dec. 5, 2017","<p>A baker in Colorado refused to create a wedding cake for a same-sex couple. After he was charged with discrimination, he argued that his First Amendment right to free speech was being violated. The case is now going to the Supreme Court. Guests: Jack Phillips, the baker; <a href=""https://www.nytimes.com/by/adam-liptak"" target=""_blank"">Adam Liptak</a>, who covers the Supreme Court for The New York Times. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
2017-12-04T10:21:13Z,2017-12-04,"Monday, Dec. 4, 2017","<p>With less than a month from proposal to passage, the Republicans rushed their tax plan through the Senate with a flurry of last-minute side deals and a 2 a.m. vote. What else made it into the bill, besides tax cuts, and how could the measure reshape American society? Guests: Jim Tankersley, who has been covering the tax bill for The New York Times; Peter S. Goodman, an economics correspondent for The Times. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
2017-12-01T22:50:05Z,2017-12-01,Special Edition: Flynn Pleads Guilty,"<p>Michael Flynn pleaded guilty this morning to lying to the F.B.I., and said he’s cooperating with the Mueller investigation. What does it tell us that prosecutors have a former senior member of the Trump White House on their side? Plus: Republicans race toward a tax vote. Guest: Michael S. Schmidt, an investigative reporter for The New York Times. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2017-12-01T10:54:40Z,2017-12-01,"Friday, Dec. 1, 2017","<p>On Thursday, the Republican tax bill seemed to have all the momentum it needed. But a vote was delayed after a report found the calculations were off by a trillion dollars. Also, the White House has a plan to replace the secretary of state with the head of the C.I.A., and the head of the C.I.A. with a sitting senator. Guests: <a href=""https://twitter.com/jimtankersley"" target=""_blank"">Jim Tankersley</a>, who covers taxes and the economy for The New York Times; <a href=""https://www.nytimes.com/by/peter-baker"" target=""_blank"">Peter Baker</a>, The Times’s chief White House correspondent. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
2017-11-30T10:58:57Z,2017-11-30,"Thursday, Nov. 30, 2017","<p>President Trump is playing a major role in shaping the Republican tax plan. So what is a businessman who ran as a populist fighting for? Also, the president shared videos on Twitter from a fringe ultranationalist group, and the move was condemned by the British prime minister. Guests: Jim Tankersley, who covers taxes and the economy for The Times; Dan Bilefsky, a Times reporter based in London. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
2017-11-29T10:59:31Z,2017-11-29,"Wednesday, Nov. 29, 2017","<p>The United States government set aside $5 million for the families of civilian casualties from the war on the Islamic State. There have been thousands of civilian casualties. So why has the money gone untouched?</p><p>Guest: Azmat Khan, an investigative reporter who spent the past year looking into civilian casualties in the war on the Islamic State. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
2017-11-28T10:47:03Z,2017-11-28,"Tuesday, Nov. 28, 2017","<p>On Monday morning, two rival bosses showed up for work at the government’s top consumer financial watchdog — one a holdover from the Obama administration, the other a rushed temporary appointee of President Trump’s. We look at the messy public fight for control of the Consumer Financial Protection Bureau.</p><p>Guest: Gary Rivlin, a former New York Times reporter who is an Investigative Fund fellow at the Nation Institute. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
2017-11-27T10:35:23Z,2017-11-27,"Monday, Nov.27, 2017","<p>With President Trump nearing the end of his first year in office, the next few weeks could be crucial for his presidency. We also look at how a string of armed robberies in Michigan and Ohio has led to what could be the most important case on electronic privacy to go before the Supreme Court. Guests: Maggie Haberman, White House correspondent; Adam Liptak, who covers the Supreme Court. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
2017-11-22T11:03:26Z,2017-11-22,"Wednesday, Nov. 22, 2017","<p>Robert Mugabe has been the leader of Zimbabwe as long as there has been a Zimbabwe. Having once proclaimed that “only God will remove me,” he resigned as president on Tuesday after nearly four decades in power. Will he be remembered as a tyrant, or as a hero? Guest: Jeffrey Gettleman, who was East Africa bureau chief of The New York Times for more than a decade. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p><p>We will be taking the rest of the week off for Thanksgiving. See you Monday. </p>",NA
2017-11-21T10:35:15Z,2017-11-21,"Tuesday, Nov. 21, 2017","<p>Capitol Hill, following its own set of rules and shrouded in secrecy, has joined Hollywood, Silicon Valley and other industries under scrutiny for sexual harassment. Senator Kirsten Gillibrand, Democrat of New York, talks about being a woman in Congress at this moment. Guests: Katie Rogers, a New York Times reporter based in Washington; Senator Kirsten Gillibrand, Democrat of New York. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2017-11-20T10:05:24Z,2017-11-20,"Monday, Nov. 20, 2017","<p>Republican lawyers and lawmakers are working together to install conservative judges at a rate not seen in decades. The result could be a federal judiciary that is as partisan and polarized as Congress itself. &nbsp;Guest: Charlie Savage, a New York Times reporter based in Washington. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
2017-11-19T10:49:33Z,2017-11-19,Special Episode: The Daily for Kids,"<p>Starting next year, girls can decide whether to become a Girl Scout or a Boy Scout. But a handful of girls — kind of secretly — have already made that decision. How one 10-year-old girl got a head start on joining a boys-only club. And why her twin sister decided to stay with the girls. Guests: Elsa Moock, who joined the Boy Scouts last year; her twin sister Clio; their father Alastair; and Dylan Bates and Harry Krygowski, two boys in Elsa's troop. For more information on today’s episode, visit nytimes.com/thedaily.</p>",NA
2017-11-17T11:06:04Z,2017-11-17,"Friday, Nov. 17, 2017","<p>Basim Razzo lost his family and his home in an airstrike by the American-led coalition fighting the Islamic State. Video of the strike shows a target hit with military precision. In Part 2 of our look at civilian casualties in Iraq, Mr. Razzo sets out to learn why his home was targeted. Guests: Basim Razzo; Azmat Khan, an investigative reporter who has been looking into civilian deaths in the fight against ISIS. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
2017-11-16T10:37:35Z,2017-11-16,"Thursday, Nov. 16, 2017","<p>The American-led battle against the Islamic State has been hailed as the most precise air campaign in history. But its airstrikes have killed far more Iraqi civilians than anyone has acknowledged. The survivors of those strikes have been left wondering why their families were targeted. Guests: Basim Razzo, who survived an airstrike on his home in Mosul, Iraq; Azmat Khan, an investigative reporter who has been looking into civilian deaths in the fight against ISIS. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
2017-11-15T10:32:30Z,2017-11-15,"Wednesday, Nov. 15, 2017","<p>In a marathon session before Congress, Attorney General Jeff Sessions denied lying about Russian contacts in earlier testimony and sidestepped questions about feeling pressure from President Trump to investigate Hillary Clinton and Uranium One. Guests: Matt Apuzzo, who covers the Justice Department for The New York Times; Michael S. Schmidt, who covers national security. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p><p>[AUDIO PLAYER DESCRIPTION] Attorney General Jeff Sessions denied lying to Congress about Russian contacts and sidestepped questions about feeling pressure to investigate Hillary Clinton.</p>",NA
2017-11-14T10:45:27Z,2017-11-14,"Tuesday, Nov. 14, 2017","<p>A fifth woman has come forward to accuse Roy S. Moore, the Republican Senate candidate in Alabama, of sexually assaulting her when she was a teenager. Mr. Moore has doubled down on claims of a Democratic conspiracy, while Mitch McConnell, the Senate majority leader, has said, “I believe the women.” And we look at how YouTube is being used to game the news. Guests: Sheryl Gay Stolberg, congressional correspondent for The New York Times; Kevin Roose, who writes about technology. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2017-11-13T10:42:42Z,2017-11-13,"Monday, Nov. 13, 2017","<p>The House speaker, Paul D. Ryan, says the Republican tax plan would help the middle class. But that assumes that savings for the wealthy would trickle down the economic pyramid. Guest: Peter S. Goodman, an economics correspondent for The Times. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
2017-11-10T11:01:01Z,2017-11-10,"Friday, Nov. 10, 2017","<p>Stephen K. Bannon has declared war on the Republican Party. He may no longer be in the White House as President Trump’s chief strategist, but he says that only makes him stronger. In an exclusive interview with The New York Times, he shares his battle plan for the soul of America. Guest: Jeremy W. Peters, who interviewed Mr. Bannon. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
2017-11-09T10:54:54Z,2017-11-09,"Thursday, Nov. 9, 2017","<p>The results of Tuesday’s elections are being called a rejection of President Trump. But Stephen K. Bannon, the president’s former chief strategist, says that’s all wrong. Also, the man who helped Texas to become one of the most gun-friendly states in America says the shooting at a church in Sutherland Springs will, if anything, strengthen the state’s relationship to firearms. &nbsp;Guests: Jeremy W. Peters, a New York Times reporter based in Washington, who interviewed Mr. Bannon; Jerry Patterson, who wrote the 1995 law that gave Texans the right to carry concealed weapons. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
2017-11-08T11:02:04Z,2017-11-08,"Wednesday, Nov. 8, 2017","<p>A 16-year-old boy who sometimes wore skirts and makeup to school was killed in Iowa. Then the Justice Department sent a federal hate-crimes lawyer to aid in the prosecution. The trial has become part of the national debate over gender identity. Guests: Monica Davey, The New York Times’s Chicago bureau chief; Matt Apuzzo, who covers law enforcement; Shaunda Campbell, a former counselor at Burlington High School; Tremell Jones, a friend who was with Kedarie Johnson the night he was killed. Sabrina Tavernise is our host; Michael Barbaro will return tomorrow. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
2017-11-07T10:40:46Z,2017-11-07,"Tuesday, Nov. 7, 2017","<p>A domestic violence conviction should have stopped Devin P. Kelley from purchasing guns, including the rifle used in a shooting that left at least 26 people dead at a church in Sutherland Springs, Tex. We look at why it didn’t. Also, a pattern is emerging between President Trump and the court system. Guests: Dave Philipps, who covers veterans and the military for The New York Times; Adam Liptak, who covers the Supreme Court, in conversation with Sabrina Tavernise. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
2017-11-06T10:53:31Z,2017-11-06,"Monday, Nov. 6, 2017","<p>A gunman walked into a Baptist church in Sutherland Springs, Tex., on Sunday and opened fire. At least 26 people were killed — 7 percent of the town’s population. Guests: Manny Fernandez, The New York Times’s Houston bureau chief; Devin Butts, associate pastor at First Baptist Church in La Vernia, Tex. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2017-11-03T09:56:36Z,2017-11-03,"Friday, Nov. 3, 2017","<p>When a waiter at an Iraqi restaurant in Portland, Ore., was attacked, the eatery’s owner saw it as an act of hate. But as details emerged about the man who did it, the story became far more complicated. Guests: Dave Philipps, who covers veterans and the military for The New York Times; Ghaith Sahib, the owner of &nbsp;the restaurant; Roberta Bello, the mother of the assailant, Damien Rodriguez; Jimmy Gentile, who served under Mr. Rodriguez in the Marine Corps. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
2017-11-02T09:49:20Z,2017-11-02,"Thursday, Nov. 2, 2017","<p>The man charged in the deadly truck attack in Manhattan on Tuesday entered the United States seven years ago through a lottery program intended to diversify the country. President Trump has pressed Congress to cancel the program. “Sounds nice,” he said. “It is not nice. It is not good.” &nbsp;Guests: Michael Schwirtz, an investigative reporter for The New York Times; Peter Baker, chief White House correspondent. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
2017-11-01T09:56:30Z,2017-11-01,"Wednesday, Nov. 1, 2017","<p>The question of collusion seemed to be at the heart of the special counsel’s investigation into Russian meddling in the 2016 election. Does it matter that there may now be evidence of it? Plus, Facebook, Google and Twitter address Russia’s use of their platforms to sway American voters. And we look at the terrorist attack in Lower Manhattan. Guests: Michael S. Schmidt, who covers national security for The New York Times; Jim Rutenberg, The Times’s media columnist. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
2017-10-31T09:56:57Z,2017-10-31,"Tuesday, Oct. 31, 2017","<p>As expected, the former Trump campaign chairman Paul Manafort and a business associate have been indicted on charges stemming from the special counsel investigation. But a surprise guilty plea from another campaign adviser may tell a more meaningful story about what the Trump campaign knew about Russian interference in the 2016 election — and when it knew it. Guests: Matt Apuzzo, a New York Times reporter who has been covering the Russia investigation. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
2017-10-30T09:51:15Z,2017-10-30,"Monday, Oct. 30, 2017","<p>The salacious “dossier” that describes ties between Donald J. Trump and the Russian government is back in the news. The Trump administration says new reporting that the Clinton campaign helped to pay for the report is evidence that the entire Russia inquiry is just politics. Also, we have a rare on-the-record conversation with President Trump’s top lawyer, Ty Cobb, about the investigation. Guests: Kenneth P. Vogel, a New York Times reporter based in Washington; Matt Apuzzo, who interviewed Mr. Cobb. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
2017-10-27T09:43:32Z,2017-10-27,"Friday, Oct. 27, 2017","<p>The opioid crisis in the United States now rivals the Vietnam War in terms of how many Americans have been killed. After calling the opioid crisis a national emergency, President Trump has officially declared it a public health emergency — a distinction with a difference. We speak with a recovering addict who was 14 when he tried oxycodone for the first time. &nbsp;“By everyone’s standards, I should be dead,” he said about his former drug dependency. Guests: Aaron Pope, who lives outside Lexington, Ky.; <a href=""https://www.nytimes.com/by/julie-hirschfeld-davis"" target=""_blank"">Julie Hirschfeld Davis</a>, a White House correspondent for The Times. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
2017-10-26T09:54:23Z,2017-10-26,"Thursday, Oct. 26, 2017","<p>Senator Bob Corker, the Republican head of the Foreign Relations Committee, was asked on Tuesday if President Trump was a role model for American children. ""Absolutely not,"" he replied. A few hours later, another Republican senator, Jeff Flake of Arizona, denounced the president. Congressional Republicans seem to be revolting against Mr. Trump. But is that what is really happening? Also, Xi Jinping, the leader of China, is consolidating his power. Guests: Glenn Thrush, a White House correspondent; Chris Buckley, a reporter for The Times in China. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
2017-10-25T09:54:31Z,2017-10-25,"Wednesday, Oct. 25, 2017","<p>A back-and-forth between President Trump and Myeshia Johnson, the widow of a U.S. soldier killed in Niger this month, has consumed the news cycle for the past week. But what actually happened in Niger? And Senator Jeff Flake, a Republican from Arizona, delivered an impassioned rebuke to President Trump as he announced he would not seek re-election. Guests: Helene Cooper, a Pentagon correspondent for The New York Times. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
2017-10-24T09:52:20Z,2017-10-24,"Tuesday, Oct. 24, 2017","<p>Wendy Cleland-Hamnett, a former Environmental Protection Agency official, fought for years to protect American consumers from toxic chemicals found in everyday products. Nancy B. Beck, a scientist who worked for the chemical industry, saw these efforts as overregulation by the federal government. This is the story of the E.P.A. under President Trump, as told by the shifting powers of two women. Guests: Eric Lipton, a Washington-based correspondent for The Times; Ms. Hamnett, who was the top E.P.A. official overseeing pesticides and toxic chemicals until last month. For more information on today’s episode, visit&nbsp;<a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2017-10-23T09:36:44Z,2017-10-23,"Monday, Oct. 23, 2017","<p>“It’s horrible what I went through, horrible what my family went through,” Bill O’Reilly said of the sexual harassment allegations that cost him his job at Fox News. Mr. O’Reilly spoke on the record to two of our reporters, Emily Steel and Michael S. Schmidt, addressing the latest reporting on a $32 million settlement he reached with a longtime network analyst. Guests: Emily Steel, a business reporter for The New York Times; Michael S. Schmidt, a Washington correspondent for The Times. For more information on today’s episode, visit&nbsp;<a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>.</p>",NA
2017-10-20T09:23:29Z,2017-10-20,"Friday, Oct. 20, 2017","<p>Foreign Service officers often serve for decades, carrying their knowledge and relationships from one administration to the next. But in just a few months, a new boss has fired or driven out many of the country’s most experienced diplomats. We look at the state of the State Department under Rex Tillerson.</p><p> Guests: Jason Zengerle, a contributing writer for The New York Times Magazine, who interviewed Mr. Tillerson for one of our other podcasts, “The New Washington”; Nancy McEldowney, a former Foreign Service officer. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
2017-10-19T10:00:47Z,2017-10-19,"Thursday, Oct. 19, 2017","<p>Its de facto capital is falling. Its territory has shriveled to a handful of outposts. Its surviving leaders are on the run, and its fighters are surrendering. Is the Islamic State losing its war, or starting a new one? Guests: Rod Nordland, The Times’s bureau chief in Kabul, Afghanistan; Rukmini Callimachi, who covers terrorism and the Islamic State. For more information on today’s episode, visit <a href=""http://nytimes.com/thedaily"" target=""_blank"">nytimes.com/thedaily</a>. </p>",NA
